start_idx,end_idx,start_time,end_time
image-00180.tiff,image-00480.tiff,1679499874.930791,1679499880.053442
image-00780.tiff,image-00780.tiff,1679499885.206183,1679499885.206183
image-00900.tiff,image-01020.tiff,1679499887.258457,1679499889.308623
image-01140.tiff,image-01200.tiff,1679499891.377059,1679499892.409837
image-04860.tiff,image-04920.tiff,1679499955.069631,1679499956.087753
image-05220.tiff,image-05220.tiff,1679499961.222773,1679499961.222773
image-05400.tiff,image-05400.tiff,1679499964.306673,1679499964.306673
image-05520.tiff,image-05580.tiff,1679499966.358083,1679499967.374647
image-05760.tiff,image-05760.tiff,1679499970.459724,1679499970.459724
image-05880.tiff,image-05880.tiff,1679499972.510118,1679499972.510118
image-06360.tiff,image-06360.tiff,1679499980.747653,1679499980.747653
image-06420.tiff,image-06660.tiff,1679499981.780802,1679499985.882587
image-06780.tiff,image-06780.tiff,1679499987.950058,1679499987.950058
image-06900.tiff,image-06900.tiff,1679499990.001788,1679499990.001788
image-07020.tiff,image-07020.tiff,1679499992.052064,1679499992.052064
image-07500.tiff,image-07560.tiff,1679500000.255429,1679500001.255888
image-07740.tiff,image-07920.tiff,1679500004.340933,1679500007.391699
image-08160.tiff,image-08280.tiff,1679500011.510873,1679500013.544962
image-08520.tiff,image-08700.tiff,1679500017.646707,1679500020.714572
image-09060.tiff,image-09060.tiff,1679500026.884030,1679500026.884030
image-09240.tiff,image-09720.tiff,1679500029.951865,1679500038.188497
image-09840.tiff,image-09840.tiff,1679500040.238828,1679500040.238828
image-10020.tiff,image-10140.tiff,1679500043.306838,1679500045.358432
image-10320.tiff,image-10380.tiff,1679500048.442375,1679500049.460647
image-10500.tiff,image-10620.tiff,1679500051.527642,1679500053.595322
image-10740.tiff,image-10740.tiff,1679500055.645447,1679500055.645447
image-10860.tiff,image-11040.tiff,1679500057.696971,1679500060.747447
image-11160.tiff,image-11160.tiff,1679500062.799052,1679500062.799052
image-11340.tiff,image-11340.tiff,1679500065.916367,1679500065.916367
image-11460.tiff,image-11460.tiff,1679500067.950584,1679500067.950584
image-11760.tiff,image-11760.tiff,1679500073.086081,1679500073.086081
image-11880.tiff,image-11940.tiff,1679500075.137569,1679500076.138541
image-12060.tiff,image-12120.tiff,1679500078.205560,1679500079.206051
image-12840.tiff,image-12900.tiff,1679500091.478437,1679500092.494338
image-13020.tiff,image-13020.tiff,1679500094.545816,1679500094.545816
image-13200.tiff,image-13260.tiff,1679500097.580563,1679500098.596984
image-13380.tiff,image-13380.tiff,1679500100.648406,1679500100.648406
image-13680.tiff,image-13680.tiff,1679500105.717154,1679500105.717154
image-13800.tiff,image-13980.tiff,1679500107.767554,1679500110.852989
image-14580.tiff,image-14580.tiff,1679500121.023737,1679500121.023737
image-14760.tiff,image-14820.tiff,1679500124.058220,1679500125.074795
image-15180.tiff,image-15180.tiff,1679500131.177331,1679500131.177331
image-15480.tiff,image-16080.tiff,1679500136.263452,1679500146.517148
image-16380.tiff,image-16380.tiff,1679500151.652709,1679500151.652709
image-16560.tiff,image-16620.tiff,1679500154.704780,1679500155.738461
image-16860.tiff,image-16920.tiff,1679500159.840147,1679500160.873881
image-17040.tiff,image-17040.tiff,1679500162.907984,1679500162.907984
image-17520.tiff,image-17520.tiff,1679500171.127759,1679500171.127759
image-17880.tiff,image-17880.tiff,1679500177.297047,1679500177.297047
image-18060.tiff,image-18060.tiff,1679500180.364692,1679500180.364692
image-18180.tiff,image-18180.tiff,1679500182.416104,1679500182.416104
image-18300.tiff,image-18300.tiff,1679500184.466430,1679500184.466430
image-18480.tiff,image-18600.tiff,1679500187.551701,1679500189.602042
