start_idx,end_idx,start_time,end_time
image-00000.tiff,image-01260.tiff,1652620483.049531,1652620504.067575
image-01380.tiff,image-01380.tiff,1652620506.069278,1652620506.069278
image-01980.tiff,image-01980.tiff,1652620516.078229,1652620516.078229
image-02100.tiff,image-02220.tiff,1652620518.079911,1652620520.081964
image-03360.tiff,image-03360.tiff,1652620539.098694,1652620539.098694
image-04320.tiff,image-04500.tiff,1652620555.113162,1652620558.115959
image-05640.tiff,image-05940.tiff,1652620577.132785,1652620582.137549
image-07920.tiff,image-07980.tiff,1652620615.166993,1652620616.167851
image-08280.tiff,image-09540.tiff,1652620621.172462,1652620642.191386
image-10200.tiff,image-10200.tiff,1652620653.201172,1652620653.201172
image-10440.tiff,image-10440.tiff,1652620657.204819,1652620657.204819
image-10740.tiff,image-10740.tiff,1652620662.209599,1652620662.209599
image-10920.tiff,image-12660.tiff,1652620665.212392,1652620694.238899
image-12780.tiff,image-13020.tiff,1652620696.240643,1652620700.244026
image-15000.tiff,image-15000.tiff,1652620733.273689,1652620733.273689
image-15240.tiff,image-15240.tiff,1652620737.277221,1652620737.277221
image-15360.tiff,image-15360.tiff,1652620739.279043,1652620739.279043
image-15480.tiff,image-15480.tiff,1652620741.280696,1652620741.280696
image-15600.tiff,image-16200.tiff,1652620743.282400,1652620753.291579
image-16380.tiff,image-16560.tiff,1652620756.294188,1652620759.296889
