start_idx,end_idx,start_time,end_time
image-00000.tiff,image-00000.tiff,1679521307.318020,1679521307.318020
image-00180.tiff,image-00600.tiff,1679521310.368055,1679521317.538346
image-00720.tiff,image-00840.tiff,1679521319.589918,1679521321.657645
image-01200.tiff,image-01320.tiff,1679521327.810230,1679521329.861901
image-35760.tiff,image-35820.tiff,1679521918.244038,1679521919.261011
image-35940.tiff,image-36060.tiff,1679521921.311990,1679521923.362003
image-36180.tiff,image-36360.tiff,1679521925.413337,1679521928.481381
image-36480.tiff,image-36480.tiff,1679521930.531719,1679521930.531719
image-36600.tiff,image-36600.tiff,1679521932.582962,1679521932.582962
image-36780.tiff,image-36780.tiff,1679521935.666893,1679521935.666893
