start_idx,end_idx,start_time,end_time
image-00000.tiff,image-00300.tiff,1671569339.001102,1671569344.120040
image-00480.tiff,image-01020.tiff,1671569347.203531,1671569356.438069
image-02520.tiff,image-02520.tiff,1671569382.076453,1671569382.076453
image-02700.tiff,image-02760.tiff,1671569385.162483,1671569386.179178
image-02940.tiff,image-03540.tiff,1671569389.265274,1671569399.521265
image-03660.tiff,image-04500.tiff,1671569401.573246,1671569415.949189
image-04740.tiff,image-04800.tiff,1671569420.068083,1671569421.102015
image-05040.tiff,image-05220.tiff,1671569425.204767,1671569428.273925
image-05340.tiff,image-05460.tiff,1671569430.341448,1671569432.409513
image-29820.tiff,image-29940.tiff,1671569849.231738,1671569851.282935
image-30000.tiff,image-30000.tiff,1671569852.316915,1671569852.316915
image-30180.tiff,image-30180.tiff,1671569855.385563,1671569855.385563
image-30300.tiff,image-30480.tiff,1671569857.453647,1671569860.539227
image-31260.tiff,image-31440.tiff,1671569873.881326,1671569876.966457
image-31560.tiff,image-31680.tiff,1671569879.017774,1671569881.069048
image-31800.tiff,image-31920.tiff,1671569883.120538,1671569885.171856
image-38220.tiff,image-38340.tiff,1671569993.075616,1671569995.127648
image-39780.tiff,image-39960.tiff,1671570019.777061,1671570022.861665
image-40740.tiff,image-40740.tiff,1671570036.203777,1671570036.203777
image-41280.tiff,image-41340.tiff,1671570045.442919,1671570046.460714
image-50820.tiff,image-51060.tiff,1671570209.082781,1671570213.202877
image-54120.tiff,image-54240.tiff,1671570265.586689,1671570267.638701
image-54360.tiff,image-55320.tiff,1671570269.689472,1671570286.133561
image-55440.tiff,image-55800.tiff,1671570288.185356,1671570294.338836
image-56400.tiff,image-56700.tiff,1671570304.612406,1671570309.732881
image-56940.tiff,image-57120.tiff,1671570313.835513,1671570316.920493
